shlok_number,shlok_text
76,ਸੁਿਣਐ ਈਸਰ ੁ ਬਰਮਾ ਇਦੰ ੁ ॥
77,ਸੁਿਣਐ ਮੁਿਖ ਸਾਲਾਹਣ ਮਦੰ ੁ ॥
78,ਸਿੁ ਣਐ ਜਗੋ ਜੁਗਿਤ ਤਿਨ ਭੇਦ ॥
79,ਸੁਿਣਐ ਸਾਸਤ ਿਸਿਮਰ੍ਿਤ ਵੇਦ ॥
80,ਨਾਨਕ ਭਗਤਾ 3 ਸਦਾ ਿਵਗਾਸੁ ॥
81,ਸੁਿਣਐ ਦਖੂ ਪਾਪ ਕਾ ਨਾਸੁ ॥
82,੯ ॥
83,ਸਿੁ ਣਐ ਸਤੁ ਸੰਤੋਖੁ ਿਗਆਨੁ ॥
84,ਸੁਿਣਐ ਅਠਸਿਠ ਕਾ ਇਸਨਾਨੁ ॥
85,ਸੁਿਣਐ ਪਿੜ ਪਿੜ ਪਾਵਿਹ ਮਾਨੁ ॥
86,ਸੁਿਣਐ ਲਾਗੈ ਸਹਿਜ ਿਧਆਨੁ ॥
87,ਨਾਨਕ ਭਗਤਾ ਸਦਾ ਿਵਗਾਸੁ ॥
88,ਸੁਿਣਐ ਦਖੂ ਪਾਪ ਕਾ ਨਾਸ ੁ ॥
89,੧੦ ॥
90,ਸਿੁ ਣਐ ਸਰਾ ਗੁਣਾ ਕੇ ਗਾਹ ॥
91,ਸੁਿਣਐ ਸੇਖ ਪੀਰ ਪਾਿਤਸਾਹ ॥
92,ਸੁਿਣਐ ਅੰਧੇ ਪਾਵਿਹ ਰਾਹ ੁ ॥
93,ਸੁਿਣਐ ਹਾਥ ਹਵੋ ੈ ਅਸਗਾਹ ੁ ॥
94,ਨਾਨਕ ਭਗਤਾ ਸਦਾ ਿਵਗਾਸੁ ॥
95,ਸੁਿਣਐ ਦੂਖ ਪਾਪ ਕਾ ਨਾਸੁ ॥
96,੧੧ ॥
97,ਮਨੰ ੇ ਕੀ ਗਿਤ ਕਹੀ ਨ ਜਾਇ ॥
98,ਜੇ ਕੋ ਕਹੈ ਿਪਛੈ ਪਛੁਤਾਇ ॥
99,ਕਾਗਿਦ ਕਲਮ ਨ ਿਲਖਣਹਾਰ ੁ ॥
100,ਮਨੰ ੇ ਕਾ ਬਿਹ ਕਰਿਨ ਵੀਚਾਰ ੁ ॥
