shlok_number,shlok_text
24038,ਆਸਾ ਮਹਲਾ ੫ ਿਤਪਦੇ ੨ ॥
24039,ਹਿਰ ਰਸੁ ਪੀਵਤ ਸਦ ਹੀ ਰਾਤਾ ॥
24040,ਆਨ ਰਸਾ ਿਖਨ ਮਿਹ ਲਿਹ ਜਾਤਾ ॥
24041,ਹਿਰ ਰਸ ਕੇ ਮਾਤੇ ਮਿਨ ਸਦਾ ਅਨਦੰ ॥
24042,ਆਨ ਰਸਾ ਮਿਹ ਿਵਆਪੈ ਿਚੰਦ ॥
24043,੧ ॥
24044,ਹਿਰ ਰਸੁ ਪੀਵੈ ਅਲਮਸਤੁ ਮਤਵਾਰਾ ॥
24045,ਆਨ ਰਸਾ ਸਿਭ ਹਛੋ ੇ ਰੇ ॥
24046,੧ ॥
24047,ਰਹਾਉ ॥
24048,ਹਿਰ ਰਸ ਕੀ ਕੀਮਿਤ ਕਹੀ ਨ ਜਾਇ ॥
24049,ਹਿਰ ਰਸੁ ਸਾਧੂ ਹਾਿਟ ਸਮਾਇ ॥
24050,ਲਾਖ ਕਰੋਰੀ ਿਮਲੈ ਨ ਕੇਹ ॥
24051,ਿਜਸਿਹ ਪਰਾਪਿਤ ਿਤਸ ਹੀ ਦੇਿਹ ॥
24052,੨ ॥
24053,ਨਾਨਕ ਚਾਿਖ ਭਏ ਿਬਸਮਾਦੁ ॥
24054,ਨਾਨਕ ਗੁਰ ਤੇ ਆਇਆ ਸਾਦੁ ॥
24055,ਈਤ ਊਤ ਕਤ ਛੋਿਡ ਨ ਜਾਇ ॥
24056,ਨਾਨਕ ਗੀਧਾ ਹਿਰ ਰਸ ਮਾਿਹ ॥
24057,੩ ॥
24058,੨੭ ॥
24059,ਆਸਾ ਮਹਲਾ ੫ ॥
24060,ਕਾਮੁ ਕਰ੍ੋਧੁ ਲੋਭੁ ਮੋਹ ੁ ਿਮਟਾਵੈ ਛੁਟਕੈ ਦੁਰਮਿਤ ਅਪੁਨੀ ਧਾਰੀ ॥
24061,ਹੋਇ ਿਨਮਾਣੀ ਸੇਵ ਕਮਾਵਿਹ ਤਾ ਪਰ੍ੀਤਮ ਹੋਵਿਹ ਮਿਨ ਿਪਆਰੀ ॥
24062,੧ ॥
24063,ਸੁਿਣ ਸੁਦੰ ਿਰ ਸਾਧੂ ਬਚਨ ਉਧਾਰੀ ॥
24064,ਦਖੂ ਭੂਖ ਿਮਟੈ ਤੇਰੋ ਸਹਸਾ ਸੁਖ ਪਾਵਿਹ ਤੂੰ ਸਖੁ ਮਿਨ ਨਾਰੀ ॥
24065,੧ ॥
24066,ਰਹਾਉ ॥
24067,ਚਰਣ ਪਖਾਿਰ ਕਰਉ ਗੁਰ ਸੇਵਾ ਆਤਮ ਸਧੁ ੁ ਿਬਖੁ ਿਤਆਸ ਿਨਵਾਰੀ ॥
24068,ਦਾਸਨ ਕੀ ਹੋਇ ਦਾਿਸ ਦਾਸਰੀ ਤਾ ਪਾਵਿਹ ਸੋਭਾ ਹਿਰ ਦੁਆਰੀ ॥
24069,੨ ॥
24070,ਇਹੀ ਅਚਾਰ ਇਹੀ ਿਬਉਹਾਰਾ ਆਿਗਆ ਮਾਿਨ ਭਗਿਤ ਹੋਇ ਤੁਮ(cid:184)ਾਰੀ ॥
24071,ਜੋ ਇਹ ੁ ਮੰਤਰ੍ੁ ਕਮਾਵੈ ਨਾਨਕ ਸੋ ਭਉਜਲੁ ਪਾਿਰ ਉਤਾਰੀ ॥
24072,੩ ॥
24073,੨੮ ॥
24074,378 ਆਸਾ ਮਹਲਾ ੫ ਦੁਪਦੇ ॥
24075,ਭਈ ਪਰਾਪਿਤ ਮਾਨੁਖ ਦੇਹਰੁ ੀਆ ॥
24076,ਗਿੋ ਬਦੰ ਿਮਲਣ ਕੀ ਇਹ ਤਰੇ ੀ ਬਰੀਆ ॥
24077,ਅਵਿਰ ਕਾਜ ਤਰੇ ੈ ਿਕਤੈ ਨ ਕਾਮ ॥
24078,ਿਮਲੁ ਸਾਧਸੰਗਿਤ ਭਜੁ ਕੇਵਲ ਨਾਮ ॥
24079,੧ ॥
24080,ਸਰਜੰ ਾਿਮ ਲਾਗੁ ਭਵਜਲ ਤਰਨ ਕੈ ॥
24081,ਜਨਮੁ ਿਬਰ੍ਥਾ ਜਾਤ ਰਿੰ ਗ ਮਾਇਆ ਕੈ ॥
24082,੧ ॥
24083,ਰਹਾਉ ॥
24084,ਜਪੁ ਤਪੁ ਸੰਜਮੁ ਧਰਮੁ ਨ ਕਮਾਇਆ ॥
24085,ਸੇਵਾ ਸਾਧ ਨ ਜਾਿਨਆ ਹਿਰ ਰਾਇਆ ॥
24086,ਕਹ ੁ ਨਾਨਕ ਹਮ ਨੀਚ ਕਰੰਮਾ ॥
24087,ਸਰਿਣ ਪਰੇ ਕੀ ਰਾਖਹ ੁ ਸਰਮਾ ॥
24088,੨ ॥
24089,੨੯ ॥
24090,ਆਸਾ ਮਹਲਾ ੫ ॥
24091,ਤੁਝ ਿਬਨੁ ਅਵਰ ੁ ਨਾਹੀ ਮੈ ਦਜੂ ਾ ਤੂੰ ਮਰੇ ੇ ਮਨ ਮਾਹੀ ॥
24092,ਤੂੰ ਸਾਜਨੁ ਸੰਗੀ ਪਰ੍ਭੁ ਮਰੇ ਾ ਕਾਹੇ ਜੀਅ ਡਰਾਹੀ ॥
24093,੧ ॥
24094,ਤੁਮਰੀ ਓਟ ਤੁਮਾਰੀ ਆਸਾ ॥
24095,ਬਠੈ ਤ ਊਠਤ ਸੋਵਤ ਜਾਗਤ ਿਵਸਰ ੁ ਨਾਹੀ ਤੂੰ ਸਾਸ ਿਗਰਾਸਾ ॥
24096,੧ ॥
24097,ਰਹਾਉ ॥
24098,ਰਾਖੁ ਰਾਖੁ ਸਰਿਣ ਪਰ੍ਭ ਅਪਨੀ ਅਗਿਨ ਸਾਗਰ ਿਵਕਰਾਲਾ ॥
24099,ਨਾਨਕ ਕੇ ਸੁਖਦਾਤੇ ਸਿਤਗੁਰ ਹਮ ਤੁਮਰੇ ਬਾਲ ਗੁਪਾਲਾ ॥
24100,੨ ॥
24101,੩੦ ॥
24102,ਆਸਾ ਮਹਲਾ ੫ ॥
24103,ਹਿਰ ਜਨ ਲੀਨ ੇ ਪਰ੍ਭੂ ਛਡਾਇ ॥
24104,ਪਰ੍ੀਤਮ ਿਸਉ ਮਰੇ ੋ ਮਨੁ ਮਾਿਨਆ ਤਾਪੁ ਮੁਆ ਿਬਖੁ ਖਾਇ ॥
24105,੧ ॥
24106,ਰਹਾਉ ॥
24107,ਪਾਲਾ ਤਾਊ ਕਛੂ ਨ ਿਬਆਪੈ ਰਾਮ ਨਾਮ ਗੁਨ ਗਾਇ ॥
24108,ਡਾਕੀ ਕੋ ਿਚਿਤ ਕਛੂ ਨ ਲਾਗੈ ਚਰਨ ਕਮਲ ਸਰਨਾਇ ॥
24109,੧ ॥
24110,ਸੰਤ ਪਰ੍ਸਾਿਦ ਭਏ ਿਕਰਪਾਲਾ ਹੋਏ ਆਿਪ ਸਹਾਇ ॥
24111,ਗੁਨ ਿਨਧਾਨ ਿਨਿਤ ਗਾਵ ੈ ਨਾਨਕੁ ਸਹਸਾ ਦੁਖੁ ਿਮਟਾਇ ॥
24112,੨ ॥
24113,੩੧ ॥
24114,ਆਸਾ ਮਹਲਾ ੫ ॥
24115,ਅਉਖਧੁ ਖਾਇਓ ਹਿਰ ਕੋ ਨਾਉ ॥
24116,ਸਖੁ ਪਾਏ ਦੁਖ ਿਬਨਿਸਆ ਥਾਉ ॥
24117,੧ ॥
24118,ਤਾਪੁ ਗਇਆ ਬਚਿਨ ਗੁਰ ਪੂਰੇ ॥
24119,ਅਨਦੁ ਭਇਆ ਸਿਭ ਿਮਟੇ ਿਵਸੂਰੇ ॥
24120,੧ ॥
24121,ਰਹਾਉ ॥
24122,ਜੀਅ ਜੰਤ ਸਗਲ ਸੁਖੁ ਪਾਇਆ ॥
24123,ਪਾਰਬਰ੍ਹਮੁ ਨਾਨਕ ਮਿਨ ਿਧਆਇਆ ॥
24124,੨ ॥
24125,੩੨ ॥
24126,ਆਸਾ ਮਹਲਾ ੫ ॥
24127,ਬ(cid:194)ਛਤ ਨਾਹੀ ਸੁ ਬਲੇ ਾ ਆਈ ॥
24128,ਿਬਨੁ ਹਕੁ ਮੈ ਿਕਉ ਬੁਝੈ ਬੁਝਾਈ ॥
24129,੧ ॥
24130,ਠੰਢੀ ਤਾਤੀ ਿਮਟੀ ਖਾਈ ॥
24131,ਓਹ ੁ ਨ ਬਾਲਾ ਬੂਢਾ ਭਾਈ ॥
24132,੧ ॥
24133,ਰਹਾਉ ॥
24134,ਨਾਨਕ ਦਾਸ ਸਾਧ ਸਰਣਾਈ ॥
24135,ਗੁਰ ਪਰ੍ਸਾਿਦ ਭਉ ਪਾਿਰ ਪਰਾਈ ॥
24136,੨ ॥
24137,੩੩ ॥
24138,ਆਸਾ ਮਹਲਾ ੫ ॥
24139,ਸਦਾ ਸਦਾ ਆਤਮ ਪਰਗਾਸੁ ॥
24140,ਸਾਧਸੰਗਿਤ ਹਿਰ ਚਰਣ ਿਨਵਾਸੁ ॥
24141,੧ ॥
24142,ਰਾਮ ਨਾਮ ਿਨਿਤ ਜਿਪ ਮਨ ਮੇਰੇ ॥
24143,ਸੀਤਲ ਸ(cid:194)ਿਤ ਸਦਾ ਸੁਖ ਪਾਵਿਹ ਿਕਲਿਵਖ ਜਾਿਹ ਸਭੇ ਮਨ ਤੇਰੇ ॥
24144,੧ ॥
24145,ਰਹਾਉ ॥
24146,ਕਹ ੁ ਨਾਨਕ ਜਾ ਕੇ ਪੂਰਨ ਕਰਮ ॥
24147,ਸਿਤਗੁਰ ਭੇਟੇ ਪੂਰਨ ਪਾਰਬਰ੍ਹਮ ॥
24148,੨ ॥
24149,੩੪ ॥
24150,ਦੂਜੇ ਘਰ ਕੇ ਚਉਤੀਸ ॥
24151,ਆਸਾ ਮਹਲਾ ੫ ॥
24152,ਜਾ ਕਾ ਹਿਰ ਸੁਆਮੀ ਪਰ੍ਭੁ 379 ਬਲੇ ੀ ॥
24153,ਪੀੜ ਗਈ ਿਫਿਰ ਨਹੀ ਦਹੁ ਲੇ ੀ ॥
24154,੧ ॥
24155,ਰਹਾਉ ॥
24156,ਕਿਰ ਿਕਰਪਾ ਚਰਨ ਸੰਿਗ ਮੇਲੀ ॥
24157,ਸੂਖ ਸਹਜ ਆਨਦੰ ਸਹੁ ੇਲੀ ॥
24158,੧ ॥
24159,ਸਾਧਸਿੰ ਗ ਗੁਣ ਗਾਇ ਅਤਲੋ ੀ ॥
24160,ਹਿਰ ਿਸਮਰਤ ਨਾਨਕ ਭਈ ਅਮਲੋ ੀ ॥
24161,੨ ॥
24162,੩੫ ॥
24163,ਆਸਾ ਮਹਲਾ ੫ ॥
24164,ਕਾਮ ਕਰ੍ੋਧ ਮਾਇਆ ਮਦ ਮਤਸਰ ਏ ਖਲੇ ਤ ਸਿਭ ਜੂਐ ਹਾਰੇ ॥
24165,ਸਤੁ ਸੰਤਖੋ ੁ ਦਇਆ ਧਰਮੁ ਸਚ ੁ ਇਹ ਅਪੁਨੈ ਿਗਰ੍ਹ ਭੀਤਿਰ ਵਾਰੇ ॥
24166,੧ ॥
24167,ਜਨਮ ਮਰਨ ਚਕੂ ੇ ਸਿਭ ਭਾਰੇ ॥
24168,ਿਮਲਤ ਸੰਿਗ ਭਇਓ ਮਨੁ ਿਨਰਮਲੁ ਗੁਿਰ ਪੂਰੈ ਲੈ ਿਖਨ ਮਿਹ ਤਾਰੇ ॥
24169,੧ ॥
24170,ਰਹਾਉ ॥
24171,ਸਭ ਕੀ ਰੇਨੁ ਹਇੋ ਰਹੈ ਮਨੂਆ ਸਗਲੇ ਦੀਸਿਹ ਮੀਤ ਿਪਆਰੇ ॥
24172,ਸਭ ਮਧੇ ਰਿਵਆ ਮਰੇ ਾ ਠਾਕੁਰ ੁ ਦਾਨੁ ਦਤੇ ਸਿਭ ਜੀਅ ਸਮ(cid:184)ਾਰੇ ॥
24173,੨ ॥
24174,ਏਕੋ ਏਕੁ ਆਿਪ ਇਕੁ ਏਕੈ ਏਕੈ ਹੈ ਸਗਲਾ ਪਾਸਾਰੇ ॥
24175,ਜਿਪ ਜਿਪ ਹੋਏ ਸਗਲ ਸਾਧ ਜਨ ਏਕੁ ਨਾਮੁ ਿਧਆਇ ਬਹਤੁ ੁ ਉਧਾਰੇ ॥
24176,੩ ॥
24177,ਗਿਹਰ ਗੰਭੀਰ ਿਬਅੰਤ ਗੁਸਾਈ ਅਤੰ ੁ ਨਹੀ ਿਕਛੁ ਪਾਰਾਵਾਰੇ ॥
24178,ਤੁਮ(cid:184)ਰੀ ਿਕਰ੍ਪਾ ਤੇ ਗੁਨ ਗਾਵੈ ਨਾਨਕ ਿਧਆਇ ਿਧਆਇ ਪਰ੍ਭ ਕਉ ਨਮਸਕਾਰੇ ॥
24179,੪ ॥
24180,੩੬ ॥
24181,ਆਸਾ ਮਹਲਾ ੫ ॥
24182,ਤੂ ਿਬਅੰਤੁ ਅਿਵਗਤੁ ਅਗੋਚਰ ੁ ਇਹ ੁ ਸਭੁ ਤੇਰਾ ਆਕਾਰ ੁ ॥
24183,ਿਕਆ ਹਮ ਜੰਤ ਕਰਹ ਚਤੁਰਾਈ ਜ(cid:194) ਸਭੁ ਿਕਛੁ ਤੁਝੈ ਮਝਾਿਰ ॥
24184,੧ ॥
24185,ਮਰੇ ੇ ਸਿਤਗੁਰ ਅਪਨੇ ਬਾਿਲਕ ਰਾਖਹ ੁ ਲੀਲਾ ਧਾਿਰ ॥
24186,ਦਹੇ ੁ ਸੁਮਿਤ ਸਦਾ ਗੁਣ ਗਾਵਾ ਮੇਰੇ ਠਾਕੁਰ ਅਗਮ ਅਪਾਰ ॥
24187,੧ ॥
24188,ਰਹਾਉ ॥
24189,ਜਸੈ ੇ ਜਨਿਨ ਜਠਰ ਮਿਹ ਪਰ੍ਾਨੀ ਓਹ ੁ ਰਹਤਾ ਨਾਮ ਅਧਾਿਰ ॥
24190,ਅਨਦੁ ਕਰੈ ਸਾਿਸ ਸਾਿਸ ਸਮ(cid:184)ਾਰੈ ਨਾ ਪੋਹੈ ਅਗਨਾਿਰ ॥
24191,੨ ॥
24192,ਪਰ ਧਨ ਪਰ ਦਾਰਾ ਪਰ ਿਨੰਦਾ ਇਨ ਿਸਉ ਪਰ੍ੀਿਤ ਿਨਵਾਿਰ ॥
24193,ਚਰਨ ਕਮਲ ਸੇਵੀ ਿਰਦ ਅੰਤਿਰ ਗੁਰ ਪੂਰੇ ਕ ੈ ਆਧਾਿਰ ॥
24194,੩ ॥
24195,ਿਗਰ੍ਹ ੁ ਮੰਦਰ ਮਹਲਾ ਜ ੋ ਦੀਸਿਹ ਨਾ ਕੋਈ ਸੰਗਾਿਰ ॥
24196,ਜਬ ਲਗੁ ਜੀਵਿਹ ਕਲੀ ਕਾਲ ਮਿਹ ਜਨ ਨਾਨਕ ਨਾਮੁ ਸਮ(cid:184)ਾਿਰ ॥
24197,੪ ॥
24198,੩੭ ॥
24199,ਆਸਾ ਘਰ ੁ੩ ਮਹਲਾ ੫ ੧ਓ ਸਿਤਗੁਰ ਪਰ੍ਸਾਿਦ ॥
24200,ਰਾਜ ਿਮਲਕ ਜੋਬਨ ਿਗਰ੍ਹ ਸੋਭਾ ਰਪੂ ਵੰਤੁ ਜਆਨੀ ॥
24201,ਬਹਤੁ ੁ ਦਰਬੁ ਹਸਤੀ ਅਰ ੁ ਘੋੜੇ ਲਾਲ ਲਾਖ ਬ ੈ ਆਨੀ ॥
24202,ਆਗੈ ਦਰਗਿਹ ਕਾਿਮ ਨ ਆਵੈ ਛੋਿਡ ਚਲੈ ਅਿਭਮਾਨੀ ॥
24203,੧ ॥
24204,ਕਾਹੇ ਏਕ ਿਬਨਾ ਿਚਤੁ ਲਾਈਐ ॥
24205,ਊਠਤ ਬੈਠਤ ਸੋਵਤ ਜਾਗਤ ਸਦਾ ਸਦਾ ਹਿਰ ਿਧਆਈਐ ॥
24206,੧ ॥
24207,ਰਹਾਉ ॥
24208,ਮਹਾ ਬਿਚਤਰ੍ ਸੰਦੁ ਰ ਆਖਾੜੇ ਰਣ ਮਿਹ ਿਜਤੇ 380 ਪਵਾੜੇ ॥
24209,ਹਉ ਮਾਰਉ ਹਉ ਬੰਧਉ ਛਡੋ ਉ ਮੁਖ ਤੇ ਏਵ ਬਬਾੜੇ ॥
24210,ਆਇਆ ਹਕੁ ਮੁ ਪਾਰਬਰ੍ਹਮ ਕਾ ਛੋਿਡ ਚਿਲਆ ਏਕ ਿਦਹਾੜੇ ॥
24211,੨ ॥
24212,ਕਰਮ ਧਰਮ ਜੁਗਿਤ ਬਹ ੁ ਕਰਤਾ ਕਰਣੈਹਾਰ ੁ ਨ ਜਾਨੈ ॥
24213,ਉਪਦੇਸੁ ਕਰੈ ਆਿਪ ਨ ਕਮਾਵੈ ਤਤੁ ਸਬਦੁ ਨ ਪਛਾਨੈ ॥
24214,ਨ(cid:194)ਗਾ ਆਇਆ ਨ(cid:194)ਗੋ ਜਾਸੀ ਿਜਉ ਹਸਤੀ ਖਾਕੁ ਛਾਨ ੈ ॥
24215,੩ ॥
24216,ਸੰਤ ਸਜਨ ਸਨੁ ਹ ੁ ਸਿਭ ਮੀਤਾ ਝਠੂ ਾ ਏਹ ੁ ਪਸਾਰਾ ॥
24217,ਮਰੇ ੀ ਮਰੇ ੀ ਕਿਰ ਕਿਰ ਡੂਬੇ ਖਿਪ ਖਿਪ ਮੁਏ ਗਵਾਰਾ ॥
24218,ਗੁਰ ਿਮਿਲ ਨਾਨਕ ਨਾਮੁ ਿਧਆਇਆ ਸਾਿਚ ਨਾਿਮ ਿਨਸਤਾਰਾ ॥
24219,੪ ॥
24220,੧ ॥
24221,੩੮ ॥
24222,ਰਾਗੁ ਆਸਾ ਘਰ ੁ੫ ਮਹਲਾ ੫ ੧ਓ ਸਿਤਗੁਰ ਪਰ੍ਸਾਿਦ ॥
24223,ਭਰ੍ਮ ਮਿਹ ਸੋਈ ਸਗਲ ਜਗਤ ਧੰਧ ਅੰਧ ॥
24224,ਕੋਊ ਜਾਗੈ ਹਿਰ ਜਨੁ ॥
24225,੧ ॥
24226,ਮਹਾ ਮੋਹਨੀ ਮਗਨ ਿਪਰ੍ਅ ਪਰ੍ੀਿਤ ਪਰ੍ਾਨ ॥
24227,ਕੋਊ ਿਤਆਗੈ ਿਵਰਲਾ ॥
24228,੨ ॥
24229,ਚਰਨ ਕਮਲ ਆਨੂਪ ਹਿਰ ਸੰਤ ਮਤੰ ॥
24230,ਕਊੋ ਲਾਗੈ ਸਾਧੂ ॥
24231,੩ ॥
24232,ਨਾਨਕ ਸਾਧੂ ਸੰਿਗ ਜਾਗੇ ਿਗਆਨ ਰੰਿਗ ॥
24233,ਵਡਭਾਗੇ ਿਕਰਪਾ ॥
24234,੪ ॥
24235,੧ ॥
24236,੩੯ ॥
24237,੧ਓ ਸਿਤਗੁਰ ਪਰ੍ਸਾਿਦ ॥
24238,ਰਾਗੁ ਆਸਾ ਘਰ ੁ ੬ ਮਹਲਾ ੫ ॥
24239,ਜ ੋ ਤੁਧੁ ਭਾਵੈ ਸੋ ਪਰਵਾਨਾ ਸਖੂ ੁ ਸਹਜ ੁ ਮਿਨ ਸਈੋ ॥
24240,ਕਰਣ ਕਾਰਣ ਸਮਰਥ ਅਪਾਰਾ ਅਵਰ ੁ ਨਾਹੀ ਰੇ ਕੋਈ ॥
24241,੧ ॥
24242,ਤਰੇ ੇ ਜਨ ਰਸਿਕ ਰਸਿਕ ਗੁਣ ਗਾਵਿਹ ॥
24243,ਮਸਲਿਤ ਮਤਾ ਿਸਆਣਪ ਜਨ ਕੀ ਜੋ ਤੂੰ ਕਰਿਹ ਕਰਾਵਿਹ ॥
24244,੧ ॥
24245,ਰਹਾਉ ॥
24246,ਅੰਿਮਰ੍ਤੁ ਨਾਮੁ ਤੁਮਾਰਾ ਿਪਆਰੇ ਸਾਧਸੰਿਗ ਰਸੁ ਪਾਇਆ ॥
24247,ਿਤਰ੍ਪਿਤ ਅਘਾਇ ਸੇਈ ਜਨ ਪੂਰੇ ਸਖੁ ਿਨਧਾਨੁ ਹਿਰ ਗਾਇਆ ॥
24248,੨ ॥
24249,ਜਾ ਕਉ ਟੇਕ ਤੁਮ(cid:184)ਾਰੀ ਸਆੁ ਮੀ ਤਾ ਕਉ ਨਾਹੀ ਿਚਤੰ ਾ ॥
24250,ਜਾ ਕਉ ਦਇਆ ਤੁਮਾਰੀ ਹੋਈ ਸੇ ਸਾਹ ਭਲੇ ਭਗਵੰਤਾ ॥
24251,੩ ॥
24252,ਭਰਮ ਮਹੋ ਧਰ੍ਹੋ ਸਿਭ ਿਨਕਸੇ ਜਬ ਕਾ ਦਰਸਨੁ ਪਾਇਆ ॥
24253,ਵਰਤਿਣ ਨਾਮੁ ਨਾਨਕ ਸਚ ੁ ਕੀਨਾ ਹਿਰ ਨਾਮੇ ਰਿੰ ਗ ਸਮਾਇਆ ॥
24254,੪ ॥
24255,੧ ॥
24256,੪੦ ॥
24257,ਆਸਾ ਮਹਲਾ ੫ ॥
24258,ਜਨਮ ਜਨਮ ਕੀ ਮਲੁ ਧੋਵੈ ਪਰਾਈ ਆਪਣਾ ਕੀਤਾ ਪਾਵ ੈ ॥
24259,ਈਹਾ ਸੁਖੁ ਨਹੀ ਦਰਗਹ ਢੋਈ ਜਮ ਪੁਿਰ ਜਾਇ ਪਚਾਵੈ ॥
24260,੧ ॥
24261,ਿਨੰਦਿਕ ਅਿਹਲਾ ਜਨਮੁ ਗਵਾਇਆ ॥
24262,ਪਹਿੁ ਚ ਨ ਸਾਕੈ ਕਾਹ ੂ ਬਾਤੈ ਆਗੈ ਠਉਰ ਨ ਪਾਇਆ ॥
24263,੧ ॥
24264,ਰਹਾਉ ॥
24265,ਿਕਰਤੁ ਪਇਆ ਿਨਦੰ ਕ ਬਪੁਰੇ ਕਾ ਿਕਆ ਓਹ ੁ ਕਰ ੈ ਿਬਚਾਰਾ ॥
24266,ਤਹਾ ਿਬਗੂਤਾ 381 ਜਹ ਕਇੋ ਨ ਰਾਖੈ ਓਹ ੁ ਿਕਸੁ ਪਿਹ ਕਰੇ ਪੁਕਾਰਾ ॥
24267,੨ ॥
24268,ਿਨੰਦਕ ਕੀ ਗਿਤ ਕਤਹੰ ੂ ਨਾਹੀ ਖਸਮੈ ਏਵੈ ਭਾਣਾ ॥
24269,ਜੋ ਜ ੋ ਿਨਦੰ ਕਰੇ ਸੰਤਨ ਕੀ ਿਤਉ ਸੰਤਨ ਸਖੁ ੁ ਮਾਨਾ ॥
24270,੩ ॥
24271,ਸੰਤਾ ਟੇਕ ਤੁਮਾਰੀ ਸੁਆਮੀ ਤੂੰ ਸੰਤਨ ਕਾ ਸਹਾਈ ॥
24272,ਕਹ ੁ ਨਾਨਕ ਸੰਤ ਹਿਰ ਰਾਖੇ ਿਨੰਦਕ ਦੀਏ ਰੜੁ ਾਈ ॥
24273,੪ ॥
24274,੨ ॥
24275,੪੧ ॥
24276,ਆਸਾ ਮਹਲਾ ੫ ॥
24277,ਬਾਹਰ ੁ ਧਇੋ ਅੰਤਰੁ ਮਨੁ ਮਲੈ ਾ ਦਇੁ ਠਉਰ ਅਪੁਨੇ ਖਏੋ ॥
24278,ਈਹਾ ਕਾਿਮ ਕਰ੍ੋਿਧ ਮੋਿਹ ਿਵਆਿਪਆ ਆਗੈ ਮੁਿਸ ਮੁਿਸ ਰਏੋ ॥
24279,੧ ॥
24280,ਗੋਿਵੰਦ ਭਜਨ ਕੀ ਮਿਤ ਹੈ ਹੋਰਾ ॥
24281,ਵਰਮੀ ਮਾਰੀ ਸਾਪੁ ਨ ਮਰਈ ਨਾਮੁ ਨ ਸੁਨਈ ਡਰੋ ਾ ॥
24282,੧ ॥
24283,ਰਹਾਉ ॥
24284,ਮਾਇਆ ਕੀ ਿਕਰਿਤ ਛੋਿਡ ਗਵਾਈ ਭਗਤੀ ਸਾਰ ਨ ਜਾਨੈ ॥
24285,ਬੇਦ ਸਾਸਤਰ੍ ਕਉ ਤਰਕਿਨ ਲਾਗਾ ਤਤੁ ਜਗੋ ੁ ਨ ਪਛਾਨੈ ॥
24286,੨ ॥
24287,ਉਘਿਰ ਗਇਆ ਜਸੈ ਾ ਖਟੋ ਾ ਢਬੂਆ ਨਦਿਰ ਸਰਾਫਾ ਆਇਆ ॥
24288,ਅੰਤਰਜਾਮੀ ਸਭੁ ਿਕਛੁ ਜਾਨੈ ਉਸ ਤੇ ਕਹਾ ਛਪਾਇਆ ॥
24289,੩ ॥
24290,ਕੂਿੜ ਕਪਿਟ ਬਿੰ ਚ ਿਨਮੰ ੁਨੀਆਦਾ ਿਬਨਿਸ ਗਇਆ ਤਤਕਾਲੇ ॥
24291,ਸਿਤ ਸਿਤ ਸਿਤ ਨਾਨਿਕ ਕਿਹਆ ਅਪਨੈ ਿਹਰਦੈ ਦੇਖੁ ਸਮਾਲੇ ॥
24292,੪ ॥
24293,੩ ॥
24294,੪੨ ॥
24295,ਆਸਾ ਮਹਲਾ ੫ ॥
24296,ਉਦਮੁ ਕਰਤ ਹੋਵੈ ਮਨੁ ਿਨਰਮਲੁ ਨਾਚੈ ਆਪੁ ਿਨਵਾਰੇ ॥
24297,ਪਚੰ ਜਨਾ ਲੇ ਵਸਗਿਤ ਰਾਖੈ ਮਨ ਮਿਹ ਏਕੰਕਾਰੇ ॥
24298,੧ ॥
24299,ਤਰੇ ਾ ਜਨੁ ਿਨਰਿਤ ਕਰੇ ਗੁਨ ਗਾਵੈ ॥
24300,ਰਬਾਬੁ ਪਖਾਵਜ ਤਾਲ ਘੁੰਘਰ ੂ ਅਨਹਦ ਸਬਦੁ ਵਜਾਵੈ ॥
24301,੧ ॥
24302,ਰਹਾਉ ॥
24303,ਪਰ੍ਥਮੇ ਮਨੁ ਪਰਬੋਧੈ ਅਪਨਾ ਪਾਛੈ ਅਵਰ ਰੀਝਾਵੈ ॥
24304,ਰਾਮ ਨਾਮ ਜਪੁ ਿਹਰਦੈ ਜਾਪੈ ਮਖੁ ਤੇ ਸਗਲ ਸਨੁ ਾਵੈ ॥
24305,੨ ॥
24306,ਕਰ ਸੰਿਗ ਸਾਧੂ ਚਰਨ ਪਖਾਰੈ ਸੰਤ ਧਿੂ ਰ ਤਿਨ ਲਾਵੈ ॥
24307,ਮਨੁ ਤਨੁ ਅਰਿਪ ਧਰੇ ਗੁਰ ਆਗੈ ਸਿਤ ਪਦਾਰਥੁ ਪਾਵੈ ॥
24308,੩ ॥
24309,ਜੋ ਜੋ ਸਨੁ ੈ ਪਖੇ ੈ ਲਾਇ ਸਰਧਾ ਤਾ ਕਾ ਜਨਮ ਮਰਨ ਦਖੁ ੁ ਭਾਗੈ ॥
24310,ਐਸੀ ਿਨਰਿਤ ਨਰਕ ਿਨਵਾਰੈ ਨਾਨਕ ਗੁਰਮਿੁ ਖ ਜਾਗੈ ॥
24311,੪ ॥
24312,੪ ॥
24313,੪੩ ॥
24314,ਆਸਾ ਮਹਲਾ ੫ ॥
24315,ਅਧਮ ਚੰਡਾਲੀ ਭਈ ਬਰ੍ਹਮਣੀ ਸੂਦੀ ਤੇ ਸਰ੍ੇਸਟਾਈ ਰੇ ॥
24316,ਪਾਤਾਲੀ ਆਕਾਸੀ ਸਖਨੀ ਲਹਬਰ ਬੂਝੀ ਖਾਈ ਰੇ ॥
24317,੧ ॥
24318,ਘਰ ਕੀ ਿਬਲਾਈ ਅਵਰ ਿਸਖਾਈ ਮੂਸਾ ਦਿੇ ਖ ਡਰਾਈ ਰੇ ॥
